  CveAds;cDescripcion                       ;cResponsable              ; cDomicilio               ;cColonia   ;cPoblacion ; cCodPostal;cTelefono;TipoAdsc
  I-1101002;TEXTILES LA CAROLINA Y REFORMA     ;JUAN MANUEL FLORES GARCIA ; LERDO DE TEJADA Nº 437   ;ZONA CENTRO;SALVATIERRA; 38900;0000000000;P
  I-1101003;CENTRO DE DESARROLLO LAS JOYAS     ;FRANCISCO HERNANDEZ GARCIA; BALCON DE LAS MARIPOSAS No. 1025;BALCONES DE LAS JOYA;LEON       ; 37355;0000000000;P
  I-1101102;PRESIDENCIA MUNICIPAL              ;JUAN MANUEL FLORES GARCIA ; FRAY ANGEL JUAREZ Nº 32  ;ZONA CENTRO;JERECUARO  ; 38540;0000000000;P
  I-1101103;CERESO DE PENJAMO                  ;RIGOBERTO LOMELI LOPEZ    ; CARR. PENJAMO- MAGALLANES S/N;           ;PENJAMO    ; 36900;0000000000;P
  I-1101202;SAN JOSE DE PORTO                  ;JUAN MANUEL FLORES GARCIA ; DOM. CONOCIDO COMUNIDAD SN JOSE DE PORTO;           ;TARANDACUAO;      ;0000000000;P
  I-1101203;PURISIMA                           ;JUAN PABLO VEGA ARREGUIN  ; ALDAMA S/N               ;CENTRO     ;PURISIMA DEL RINCON; 36400;0000000000;P
  I-1101302;DIF VALLE DE SANTIAGO              ;JUANA ROBLES SANTANA      ; GERTRUDIS VARGAS S/N     ;MIRAVALLE  ;VALLE DE SANTIAGO; 38400;0000000000;P
  I-1101303;MEZQUITE GORDO                     ;SALVADOR CANO VARGAS      ; FCO I MADERO ESQ. CUAUHTEMOC S/N;CENTRO     ;ROMITA     ;      ;0000000000;P
  I-1101402;DIF CORTAZAR                       ;JUANA ROBLES SANTANA      ; PRIVADA ROSALES S/N      ;ROSALES    ;CORTAZAR   ; 38030;0000000000;P
  I-1101403;SAN JOSE DE LOS CEMENTOS           ;ARIADNE LEAL GONZALEZ     ; TEXTILES ESQ. IMPRESORES S/N;SN JOSE DE LOS CEMEN;LEON       ; 37458;0000000000;P
  I-1101502;SINDICATO DE LA INDUSTRIA DEL VIDRIO;FRANCISCO SANCHEZ RODRIGUEZ; IGNACIO LOPEZ RAYON Nº 42;ZONA CENTRO;SAN JOSE ITURBIDE; 37980;0000000000;P
  I-1101503;CERESO-URUETARO                    ;ROBERTO ROA VELAZQUEZ     ; COMUNIDAD URUETARO CARR. SALAMANCA-VALLE DE STGO.;           ;SALAMANCA  ;      ;0000000000;P
  I-1101602;PUNTO DE ENCUENTRO PRESIDENCIA MUNICIPAL;JOSE JORGE PEÑAFLOR RAMIREZ; MELCHOR OCAMPO S/N       ;ZONA CENTRO;SAN FELIPE ;      ;0000000000;P
  I-1101603;EL RANCHITO                        ;JUAN MANUEL FLORES GARCIA ; GUILLERMO PRIETO S/N, COM. EL RANCHITO;           ;SALVATIERRA; 38910;0000000000;P
  I-1101702;CASA DE LA CULTURA                 ;JUAN MANUEL FLORES GARCIA ; AV. 16 DE SEPTIEMBRE S/N ;ZONA CENTRO;TARANDACUAO; 38790;0000000000;P
  I-1101703;LA MORA                            ;JUAN MANUEL FLORES GARCIA ; LAZARO CARDENAS S/N, ZONA CENTRO;           ;TARANDACUAO, GTO.;      ;0000000000;P
  I-1101802;URIREO                             ;JUAN MANUEL FLORES GARCIA ; CALLE JUAREZ Nº 210 COMUNIDAD URIREO;ZONA CENTRO;SALVATIERRA; 38901;0000000000;P
  I-1101803;SAN DIEGO DE LA UNION              ;JOSE JORGE PEÑAFLOR RAMIREZ; CALLE CIUDADELA No. 4    ;CENTRO     ;SAN DIEGO DE LA UNIO; 37850;0000000000;P
  I-1101902;SAN FRANCISCO JAVIER               ;JUAN PABLO VEGA ARREGUIN  ; ANDADOR MANUEL DOBLADO Nº 135;ZONA CENTRO;CUERAMARO  ;      ;0000000000;P
  I-1101903;JARDINES DE SAN FRANCISCO          ;JUAN PABLO VEGA ARREGUIN  ; COLEGIO MILITAR ESQ. IGNACIO  ALTAMIRANO;CENTRO     ;SAN FRANCISCO DEL RI; 36300;0000000000;P
  I-1102002;MANUELA HERRERA                    ;SALVADOR CANO VARGAS      ; PROLONGACION MIGUEL ALEMAN Nº 27;ESPARRAGOS ;SILAO      ;      ;0000000000;P
  I-1102003;FIDEPO SAN FRANCISCO               ;JUAN PABLO VEGA ARREGUIN  ; VERANO ESQ. OCTUBRE S/N  ;PURISIMA CONCEPCION;SAN FRANCISCO RINCON; 36300;0000000000;P
  I-1102102;CASA DE LA CULTURA MARGARITA FERNANDEZ;SALVADOR CANO VARGAS      ; AV. CUAUHTEMOC S/N       ;JUAREZ     ;ROMITA     ;      ;0000000000;P
  I-1102103;GOMEZ PORTUGAL                     ;JUAN PABLO VEGA ARREGUIN  ; GOMEZ PORTUGAL S/N       ;CENTRO     ;CD. MANUEL DOBLADO,;      ;0000000000;P
  I-1102202;DELEGACION EL XOCONOXTLE           ;JESUS MANUEL GRANADOS BLANCARTE; CARR. YURIRIA-VALLE DE SANTIAGO, COM. EL XOCONOXTL;COMUNIDAD XOCONOXTLE;YURIRIA    ;      ;0000000000;P
  I-1102203;VICTORIA 2002-2003                 ;FRANCISCO SANCHEZ RODRIGUEZ; CALLEJON DEL GALLO S/N   ;CENTRO     ;VICTORIA   ; 37920;0000000000;P
  I-1102302;DIF MOROLEON                       ;MARIO RIOS RAMIREZ        ; PIPILA Nº 763            ;ZONA CENTRO;MOROLEON   ;      ;0000000000;P
  I-1102303;PAXTITLAN                          ;SALVADOR CANO VARGAS      ; CALLE DEL ZAPOTE S/N     ;PASTITA    ;GUANAJUATO ; 36000;0000000000;P
  I-1102402;PUNTO DE ENCUENTRO                 ;JOSE MIGUEL ACOSTA AGUILAR; REVOLUCION No. 4         ;CENTRO     ;COMONFORT  ;      ;0000000000;P
  I-1102502;DELEGACION CERANO                  ;JESUS MANUEL GRANADOS BLANCARTE; J. JESUS MONTAÑO S7N     ;COMUNIDAD CERANO;YURIRIA    ;      ;0000000000;P
  I-1102602;URIANGATO                          ;JESUS MANUEL GRANADOS BLANCARTE; JUAN ESCUTIA S/N         ;ZONA CENTRO;URIANGATO  ;      ;0000000000;P
  I-1102702;JUVENTINO ROSAS                    ;ROBERTO ROA VELAZQUEZ     ; JUVENTINO ROSAS Nº 204-A ;ZONA CENTRO;STAN CRUZ J. ROSAS; 38240;0000000000;P
  I-1102802;SANTA MARIA DEL GRANJENO           ;LOURDEZ RAMIREZ MENDOZA   ; MAR CANTABRICO No. 113   ;STA MARIA DEL GRANJE;LEON, GTO  ; 37550;0000000000;P
  I-1102902;DIF NUEVA CALDELARIA               ;FRANCISCO HERNANDEZ GARCIA; PUERTO VALLARTA Y SANCHEZ Nº 603;NUEVA CANDELARIA;LEON       ;      ;0000000000;P
  I-1103002;PLAZA COMUNITARIA DIEGO RIVERA     ;JESUS MANUEL GRANADOS BLANCARTE; BOULEVARD 25 DE JULIO NO. 7 INT. 6;ZONA CENTRO;SANTIAGO MARAVATIO;      ;0000000000;P
  I-1103102;DIF YURIRIA                        ;J. MANUEL GRANADOS BLANCARTE; TOMAS MORENO No. 7 EXT. 11;ZONA CENTRO;YURIRIA, GTO; 38940;0000000000;P
  I-1103202;ESCUELA PRIMARIA MIGUEL HIDALGO    ;RIGOBERTO LOMELI LOPEZ    ; DOM. CONOCIDO COM. PUERTO DE LA CRUZ;PUERTO DE LA CRUZ;ABASOLO    ; 36980;0000000000;P
  I-1103302;CENTRO SOCIAL LOS ANGELES          ;FRANCISCO HERNANDEZ GARCIA; BLVD. FRANCISCO VILLA ESQ. SATURNO;LOS ANGELES II;LEON       ;      ;0000000000;P
  I-1103402;DIF IRAPUATO                       ;MARIO RIOS RAMIREZ        ; BOULEVARD TORRES LANDA S/N ESQ. COMONFORT;BARRIO NUEVO;IRAPUATO   ; 36530;0000000000;P
  I-1103502;CASTILLO BRETON                    ;MARIO RIOS RAMIREZ        ; CASTILLO BRETON S/N      ;MODERNA    ;IRAPUATO   ; 36690;0000000000;P
  I-1103602;PUEBLO NUEVO                       ;MARIO RIOS RAMIREZ        ; 5 DE MAYO No. 111        ;ZONA CENTRO;PUEBLO NUEVO;      ;0000000000;P
  I-1103702;PURUAGUA                           ;JUAN MANUEL FLORES GARCIA ; CAMELINAS Nº 28          ;COMUNIDAD PURUAGUA;JERECUARO  ; 38540;0000000000;P
  I-1103802;PLAZA  COMUNITARIA CORONEO         ;JUAN MANUEL FLORES GARCIA ; MARIANO GARCIA SELA S/N  ;ZONA CENTRO;CORONEO    ; 38590;0000000000;P
  I-1103902;CENTRO DE READAPTACION SOCIAL VALLE DE SANTIAGO;JUANA ROBLES SANTANA      ; CARR. VALLE STGO-PUEBLO NUEVO;           ;VALLE DE STGO.; 38400;0000000000;P
  I-1104002;VALLE DEL SOL                      ;MARIO RIOS RAMIREZ        ; ANTARES S/N              ;VALLE DEL SOL II SEC;IRAPUATO   ; 36590;0000000000;P
  I-1104102;HOMEX PASEO DEL COUNTRY            ;FRANCISCO HERNANDEZ GARCIA; PASEO DEL ESTABLO No. 307;PASEOS DEL COUNTRY;LEON       ; 37358;0000000000;P
  I-1104202;CERESO GUANAJUATO                  ;SALVADOR CANO VARGAS      ; CARR. PUENTECILLAS KM. 7 ;           ;GUANAJUATO ;      ;0000000000;P
  I-1104302;CENTRO DE INTEGRACION JUVENIL A.C. ;MANUEL ALMANZA NUÑEZ      ; ALHELIES NO. 100         ;ROSALINDA II;CELAYA, GTO;      ;0000000000;P
  I-1104402;TARIMORO                           ;JOSE MIGUEL ACOSTA AGUILAR; ANASTACIO BUSTAMANTE No. 3-A;COLONIA CENTRO;TARIMORO, GTO.;      ;0000000000;P
  I-1104502;SAN PEDRO DE LOS NARANJOS          ;JUAN MANUEL FLORES GARCIA ; JOSE MARIA MORELOS Nº 22, COM. SN PEDR DE LOS NARA;COM. SN PEDRO NARANJ;SALVATIERRA; 38933;0000000000;P
  I-1104602;SANTA JULIA                        ;ARIADNE LEAL GONZALEZ     ; CRUCIFIXION S/N          ;VILLAS STA JULIA RUB;LEON       ; 37530;0000000000;P
  I-1104702;CARITAS                            ;FRANCISCO HERNANDEZ GARCIA; ALLENDE Nº 220           ;OBREGON    ;LEON       ; 37230;0000000000;P
  I-1104802;SAN ANTONIO ABAD                   ;SALVADOR CANO VARGAS      ; CALLE SAN ANTONIO ABAD S/N;ZONA CENTRO;ALLENDE, GTO.;      ;0000000000;P
  I-1104902;CASA DE DIFUSION CULTURAL          ;FRANCISCO SANCHEZ RODRIGUEZ; CARR. TIERRABLANCA-SAN JOSE ITURBIDE KM II;           ;SAN JOSE ITURBIDE;      ;0000000000;P
  I-1105002;LA NORIA                           ;JOSE MIGUEL ACOSTA AGUILAR; MORELOS S/N              ;ZONA CENTRO;TARIMORO   ;      ;0000000000;P
  I-1105102;JARAL                              ;JUANA ROBLES SANTANA      ; TOMATE ESQ. SORGO        ;           ;JARAL DEL PROGRESO; 38470;0000000000;P
  I-1105202;SAN JUAN BAUTISTA DE LA SALLE      ;ALEJANDRA OREGEL MARTINEZ ; IZTLACCIHUATL No. 2113   ;PILETAS, 2A. SECCION;LEON, GTO. ;      ;0000000000;P
  I-1105302;FUNDACION NUTRICION Y VIDA         ;MANUEL ALMANZA NUÑEZ      ; RCHO SN JORGE DE LA CONCEP. KM 9 CARR CELAYA-S.M.A;           ;CELAYA, GTO; 38014;0000000000;P
  I-1105402;DOLORES HIDALGO                    ;JOSE JORGE PEÑAFLOR RAMIREZ; BAJA CALIFORNIA SUR No. 18-A;ZONA CENTRO;DOLORES HIDALGO;      ;0000000000;P
  I-1105502;CERESO CELAYA                      ;MANUEL ALMAZA NUÑEZ       ; HELIOTROPO S/N           ;LAS FLORES ;CELAYA     ; 38090;0000000000;P
  Z01  ;EXTRAVIOS EN DELEGACION            ;                          ;                          ;           ;           ;      ;      ;D
  Z02  ;EXTRAVIOS EN COORDINACION DE ZONA  ;                          ;                          ;           ;           ;      ;      ;D
  Z03  ;BIENES DE CONSUMO                  ;I.N.E.A.                  ;                          ;           ;           ;      ;      ;D
  Z04  ;EXTRAVIOS SIN NUMERO DE INVENTARIO ;                          ;                          ;           ;           ;      ;      ;D
  Z05  ;B. EXISTENTES SIN NUMERO DE INVENTARIO;                          ;                          ;           ;           ;      ;      ;D
  Z06  ;BIENES CON BAJA AUTORIZADA (ENCONTRADOS);                          ;                          ;           ;           ;      ;      ;D
  Z07  ;BIENES NO ANEXADOS EN LISTA MEXICO.;                          ;                          ;           ;           ;      ;      ;D
  Z08  ;SOLICITUD DE BAJA                  ;                          ;                          ;           ;           ;      ;      ;D
  Z09  ;BIENES DUPLICADOS                  ;                          ; REC MAT                  ;           ;           ;      ;0000000000;D
  Z10  ;RECLASIFICACION                    ;                          ;                          ;           ;           ;      ;0000000000;D
  Z11990;BAJAS AUTORIZADAS                  ;OFNA. DE RECURSOS MATERIALES;                          ;           ;           ;      ;      ;D
  Z11991;BAJAS AUTORIZADAS (EXTRAVIO)       ;                          ;                          ;           ;           ;      ;0000000000;D
